Date,NOKOIS1w,NOKOIS1m,NOKOIS3m,NOKOIS6m
09/08/2008,5.756666667,5.766363636,5.787575758,5.814393939
10/08/2008,5.756666667,5.766363636,5.787575758,5.814393939
11/08/2008,5.77,5.784545455,5.811742424,5.865530303
12/08/2008,5.776666667,5.786666667,5.814552239,5.865769231
13/08/2008,5.75,5.75,5.798507463,5.858076923
14/08/2008,5.75,5.75,5.800373134,5.859615385
15/08/2008,5.75,5.75,5.802238806,5.861153846
16/08/2008,5.75,5.75,5.802238806,5.861153846
17/08/2008,5.75,5.75,5.802238806,5.861153846
18/08/2008,5.75,5.75,5.836567164,5.887692308
19/08/2008,5.75,5.75,5.839552239,5.888846154
20/08/2008,5.75,5.75,5.842537313,5.89
21/08/2008,5.75,5.75,5.845522388,5.891153846
22/08/2008,5.75,5.75,5.848507463,5.892307692
